item_id,description,imageURLHighRes
B0013DZIAA,"[CLS] GUND is proud to introduce Spunky  a cuddly puppy thats ready to be babys new best friend! Huggybuddy plush toys bridge the gap between babys favorite blanket, and babys favorite stuffed animal. Made from soft, huggable plush, each Huggybuddy features a delicate satin underside that feels smooth and cool against babys skin for added tactile sensation. Spunky features adorable white spots and an on-trend beige color that makes a fashion-forward addition to any nursery or playroom  perfect for baby boys and girls alike. Your childs safety is our top concern, so all babyGUND products feature embroidered eye and nose details. Machine-washable. All ages. About GUND: For more than 100 years, GUND has been a premier plush company recognized worldwide for quality innovative products. Building upon our award-winning and beloved plush designs, we continue to practice innovation by constantly developing new original and licensed designs to appeal to the next generation of customers. To that end, each one of our plush toys is constructed from premium materials for unparalleled softness and huggability. [SEP]",https://images-na.ssl-images-amazon.com/images/I/41Tp9ZYn7qL.jpg
B001FSP2NG,"[CLS] A fairy (sometimes fairie or faerie) is a spirit or supernatural being that is found in the legends, folklore, and mythology of many cultures. They are generally humanoid in their appearance with supernatural abilities such as the ability to fly & cast spells. Often depicted as young, winged, females of small stature, they originally were of a much different image: tall, angelic beings and short, wizened trolls being some of the commonly mentioned fay. [SEP]",https://images-na.ssl-images-amazon.com/images/I/41021QEQLIL.jpg
B000FFRZYE,"[CLS] Flashy by design! Build student confidence and skills using fun-filled flash cards. This pack, complete with activities, further develops reading skills with more sight words. Watch students enjoy learning and build skills on their own or with friends ... at school, home, or on the go! Durable, no-see-through cards with quick-sorting, rounded corners. 56 two-sided cards, 3 1/8 x 5 1/4. [SEP]",https://images-na.ssl-images-amazon.com/images/I/61V2MxQf-TL.jpg
B000GYW3P0,"[CLS] This child Jedi robe is the perfect way to complete your Anakin Skywalker or Obi-Wan Kenobi costume. Costume not included. This Jedi robe is an officially licensed authentic Star Wars costume. Rubies offers costumes, accessories, and dcor items from Star Wars, the Empire strikes back, Return of the Jedi, the Phantom Menace, Attack of the Clones, The Clone War, The Force Awakens, The Last Jedi, Rogue One, and Solo. Important: Costumes are sized differently than apparel, use the Rubies child Size Chart, do not choose based on child's age or clothing size. Family-owned, family-focused, and based in the U.S.A. Since 1950, Rubies has classic and licensed costumes and accessories in sizes and styles for your entire family. [SEP]",https://images-na.ssl-images-amazon.com/images/I/5105cSVpIOL.jpg
B004XHWKZ4,"[CLS] Amscan.inc is the largest designer, manufacturer, and distributor of decorated party goods and party accessories in the world, founded in 1947. Our company is also a leading supplier of gifts, home decor, and tabletop products as well as the primary source for gift wrap, gift bags, stationery, and licensed products. Our party offering is comprised of more than 300 innovative party ensembles including tableware, accessories, balloons, novelties, stationery, gift wrap, and decorations. Gifts that inspire and satisfy customer needs. Fan out and declare your decorating independence with our vibrant Red, White & Blue Assorted Paper Fan Decorations, featuring a mix of swirling and polka dot patterned hanging fans that suspend from attached strings. Amscan pledge to provide you the quality product at a reasonable price. If you come in, we will give you the reason to come back. Premium quality, Affordable, Value pack, Easy to use, Best for any party! [SEP]",https://images-na.ssl-images-amazon.com/images/I/51S1B3TEiIL.jpg
B00004U1RA,"[CLS] 4099229   Features: -Equation Thinking Game. -Fun creating equations crossword-style game. -Include a laminated playing board, 190 tiles, and 4 racks behind which players hide their tiles. -Ages 8 through adult, 2 to 4 players. -Great for the family or classroom. -Easy to learn. -Overall Dimensions: 10'' H x 10'' W x 2'' D. [SEP]",https://images-na.ssl-images-amazon.com/images/I/310em%2BxeTqL.jpg
B00160HTUW,"[CLS] When this baby doll has to go, it's up to little moms (or dads) to help train her. After she eats and drinks from her bottle just like a real infant, she says when to put her on the potty. The more training Baby Alive gets, the less chance there is of an accident. Hasbro. Ages: 3+ [SEP]",https://images-na.ssl-images-amazon.com/images/I/51%2BhZw%2B3zML.jpg
B000PCIJ6U,[CLS] Explore this new Alaska Wildlife - Fun Facts 11 inch x 11 inch 48 Piece Puzzle. Your child will feel like theyre in the middle of Alaska when they put together this 48 piece wood jigsaw puzzle. Make learning fun by flipping the pieces over to read 22 fun facts about your favorite Alaskan animals. [SEP],https://images-na.ssl-images-amazon.com/images/I/619IFhKtYHL.jpg
B000QSLK9G,"[CLS] Set includes four wooden, 12-piece wild animal jigsaw puzzles-- a zebra, a tiger, a lion, and an elephant-- each stored in a separate compartment of a sturdy wooden box! The slide-on box lid doubles as a convenient puzzle board! Each puzzle piece is shape-coded on the back for easy sorting. Great for travel! [SEP]",https://images-na.ssl-images-amazon.com/images/I/614WzoJPqUL.jpg
B00027BZCS,"[CLS] This classic marble shooting game comes in a toy tin to neatly house all of the marbles. This is just like the game that kids have been playing for generations. Now you can introduce those same games to your children or grandchildren in an easy and fun way. This vintage marbles toy comes with 48 assorted marbles, 2 large shooters, and a 20-page handbook. Like Channel Craft's other products, this marble set was proudly manufactured and assembled in the U.S.A. Recommended for ages 3 and up. Choking hazard for children under 3 years. [SEP]",https://images-na.ssl-images-amazon.com/images/I/61F9j9u8LtL.jpg
B000Y895OU,[CLS] Join Mr. Monopoly as he makes his way around town! [SEP],https://images-na.ssl-images-amazon.com/images/I/611j1G9NUKL.jpg
B000H6C6R2,[CLS] Safari Ltd Wild Safari Sea Life Starfish [SEP],https://images-na.ssl-images-amazon.com/images/I/31oIi8TB5AL.jpg
B001W34FDW,[CLS] Can Spider-Man stop the powerful lizard before he frees all the reptiles in this LeapFrog TAG Activity Storybook - Spider-Man? Use the #1 selling TAG Reading System to bring this book to life! [SEP],https://images-na.ssl-images-amazon.com/images/I/51yWqCb-WGL.jpg
B001ENBBEQ,"[CLS] Get ready to take off for aerial adventures with this simple wooden jet plane model. Your young pilot will enjoy assembling this jet with the tube of glue included, then personalizing it using the paintbrush, 4 pots of paint and aviation-themed stickers. [SEP]",https://images-na.ssl-images-amazon.com/images/I/51nblu2vxuL.jpg
